Маркетплейс	Номенклатура	Продавец	Производитель	Цвет	Применяемость	Аналог RubEX	"Длина, м"	"Диаметр, мм"	"Цена, руб."	"Цена за пог.м., руб."	Ссылка на товар
ОЗОН	Шланг для дренажного насоса армированный d 50 мм (30 метров ) Tuboflex ДомовоД ШНВЛ50-30	Домовод (ИП «Демин Дмитрий Валентинович »)	Tuboflex	желтый	дренажный	IRRIGATION	30	50	7821	261	https://www.ozon.ru/product/shlang-dlya-drenazhnogo-nasosa-armirovannyy-d-50-mm-30-metrov-tuboflex-domovod-shnvl50-30-645063743/?asb=oG9L9nusM5%252B2hhyaHTh625UoDUoLXbgy2A2%252Fk99B5io%253D&asb2=v1aScgS_if4twYBqZfs9VegUgghyERVAYLROifQCbxhm-2TNGAKzimULyav1okvM&avtc=1&avte=2&avts=1684415924&from_sku=645041982&from_url=https%253A%252F%252Fwww.ozon.ru%252Fcategory%252Fshlangi-i-komplekty-dlya-poliva-14641%252F%253Fgardenwateringmaterial%253D30040%25252C27166%2526hosediameter%253D267412%25252C267411%25252C267413%25252C267415%2526hosetype%253D155847%25252C175848%2526tf_state%253DdYly-_JjeaR0_a3tRKnWzsErHYfVfInSgPXuWZ91D8wDVdk%25253D&oos_search=false&sh=wqyUGmSjFg
ОЗОН	Шланг 10м (рукав напорно-всасывающий) для дренажного насоса диаметр 50 мм 2'' морозостокий	ООО ПК "Хольцер Флексо"	Holzer Flexo	зеленый	дренажный	IRRIGATION	10	50	5319	532	https://www.ozon.ru/product/shlang-10m-rukav-naporno-vsasyvayushchiy-dlya-drenazhnogo-nasosa-diametr-50-mm-2-morozostokiy-504141118/?asb=KRtDMCLLhzS54IuCmpulc%252B5OI4H23MPpTqp1%252B3DcOABqT6T1W02eYM4goCEy2n7U&asb2=ibh_JLK-I2ZFE7Br5mQMHYWkVUy91PKIuf3muFj9wioe1V2G8P4HKR_mnpW_IwYW9XFveIh6mWR46l7HoYws4d_O7KmlWmObHprXLYtq9ZeDCai9mZduPvUYUxYJQHbaxXNYH60csVpNi_qIRQsf3A&avtc=1&avte=2&avts=1684415924&from_sku=504141423&from_url=https%253A%252F%252Fwww.ozon.ru%252Fcategory%252Fshlangi-i-komplekty-dlya-poliva-14641%252F%253Fgardenwateringmaterial%253D30040%25252C27166%2526hosediameter%253D267412%25252C267411%25252C267413%25252C267415%2526hosetype%253D155847%25252C175848%2526tf_state%253DdYly-_JjeaR0_a3tRKnWzsErHYfVfInSgPXuWZ91D8wDVdk%25253D&oos_search=false&sh=wqyUGr55XQ
ОЗОН	Шланг ассенизаторский /напорно-всасывающий / морозостойкий d 50мм ( длина 10 метров) RUBEX CLEAN эластичный универсальный ДомовоД ШНВА50-10	Домовод (ИП «Демин Дмитрий Валентинович »)	RubEX	красный	ассенизаторский	Clean	10	50	8383	838	https://www.ozon.ru/product/shlang-assenizatorskiy-naporno-vsasyvayushchiy-morozostoykiy-d-50mm-dlina-10-metrov-rubex-733592800/?asb=AO4ygTK59rVmLF8KonrtdOt8pfzEsMUQ75OVioUqxUE%253D&asb2=EaTQh3vUd7W5CRSlx3wgRA-3losZnfnksSo9_P9rcDVQE2H7NDdHJps6eRQbeShS&avtc=1&avte=2&avts=1684415924&from_sku=732607396&from_url=https%253A%252F%252Fwww.ozon.ru%252Fcategory%252Fshlangi-i-komplekty-dlya-poliva-14641%252F%253Fgardenwateringmaterial%253D30040%25252C27166%2526hosediameter%253D267412%25252C267411%25252C267413%25252C267415%2526hosetype%253D155847%25252C175848%2526tf_state%253DdYly-_JjeaR0_a3tRKnWzsErHYfVfInSgPXuWZ91D8wDVdk%25253D&oos_search=false&sh=wqyUGnaRWw
ОЗОН	Шланг напорно-всасывающий /ассенизаторский / морозостойкий d 50мм ( длина 25 метров) RUBEX CLEAN эластичный универсальный ДомовоД ШНВА50-25	Домовод (ИП «Демин Дмитрий Валентинович »)	RubEX	красный	ассенизаторский	Clean	25	50	21072	843	https://www.ozon.ru/product/shlang-naporno-vsasyvayushchiy-assenizatorskiy-morozostoykiy-d-50mm-dlina-25-metrov-rubex-736709500/?asb=AO4ygTK59rVmLF8KonrtdOt8pfzEsMUQ75OVioUqxUE%253D&asb2=EaTQh3vUd7W5CRSlx3wgRA-3losZnfnksSo9_P9rcDVQE2H7NDdHJps6eRQbeShS&avtc=1&avte=2&avts=1684415924&from_sku=732607396&from_url=https%253A%252F%252Fwww.ozon.ru%252Fcategory%252Fshlangi-i-komplekty-dlya-poliva-14641%252F%253Fgardenwateringmaterial%253D30040%25252C27166%2526hosediameter%253D267412%25252C267411%25252C267413%25252C267415%2526hosetype%253D155847%25252C175848%2526tf_state%253DdYly-_JjeaR0_a3tRKnWzsErHYfVfInSgPXuWZ91D8wDVdk%25253D&oos_search=false&sh=wqyUGnaRWw
ОЗОН	Шланг для дренажного насоса морозостойкий/зимний/морозоустойчивый/ армированный прозрачный из ПВХ d 50 мм ( длина 30 метров ) Tuboflex напорно-всасывающий ДомовоД ШНВМ50-30	Домовод (ИП «Демин Дмитрий Валентинович »)	Tuboflex	синий	дренажный	IRRIGATION	30	50	11618	387	https://www.ozon.ru/product/shlang-dlya-drenazhnogo-nasosa-morozostoykiy-zimniy-morozoustoychivyy-armirovannyy-prozrachnyy-730786242/?asb=eSNYla%252BFt72irygAArptg9MtNsE3GRNbng5gKD%252BwcgQ%253D&asb2=gN3d4-vqgwLkTvFqj8xGtghaZpxI6liv_HD8djNIo0xUQidLdZS0v3-ZHiB4ouON&avtc=1&avte=2&avts=1684417252&from_sku=730786949&from_url=https%253A%252F%252Fwww.ozon.ru%252Fcategory%252Fshlangi-i-komplekty-dlya-poliva-14641%252F%253Fgardenwateringmaterial%253D30040%2526hosediameter%253D267411%2526hosetype%253D155847%25252C175848&oos_search=false&sh=wqyUGmmTSA
ОЗОН	Шланг для дренажного насоса морозостойкий армированный напорно-всасывающий d50 мм (30 метров ) ДомовоД ШНВС50-30	Домовод (ИП «Демин Дмитрий Валентинович »)	Завод ПолимерШланг	белый	дренажный	IRRIGATION	30	50	9799	327	https://www.ozon.ru/product/shlang-dlya-drenazhnogo-nasosa-morozostoykiy-armirovannyy-naporno-vsasyvayushchiy-d50-mm-30-645514107/?asb=L8X4x5%252BLV3zrWOAZCw1YlyUZulSE785dix0HeRtFrGE%253D&asb2=1ZTcq36EaKTZd0FC2-YpX5AutFSELfLCKZcGoSAwzyuObvPXKScf84NGdbXhc5ri&avtc=1&avte=2&avts=1684417252&from_sku=656739547&from_url=https%253A%252F%252Fwww.ozon.ru%252Fcategory%252Fshlangi-i-komplekty-dlya-poliva-14641%252F%253Fgardenwateringmaterial%253D30040%2526hosediameter%253D267411%2526hosetype%253D155847%25252C175848&oos_search=false&sh=wqyUGhuy8A
ОЗОН	"Шланг Ассенизаторский (УСИЛЕННЫЙ) напорно-всасывающий 50 мм (2""), 10 атм, гофрированный, ударопрочный, морозостойкий ПВХ от -40С до +55С, защита от УФ, серый, 30м"	ВсеПрофилиРу (ИП Жаботинский Евгений Яковлевич)	НОВЭМ	серый	ассенизаторский	CLEAN NORD	30	50	20388	680	https://www.ozon.ru/product/shlang-assenizatorskiy-usilennyy-naporno-vsasyvayushchiy-50-mm-2-10-atm-gofrirovannyy-915361338/?asb=Upnw7X3nZosvpZLD%252BFb%252F6Rw5B%252BULSo6fiG%252Biki3dJQA%253D&asb2=kmRWBW1KY9YfxIWio1OOwTkHJDggKfDHdPuiStZX9UPZlfrjnXBgwidaOvZayPP_&avtc=1&avte=2&avts=1684417252&from_sku=915361530&from_url=https%253A%252F%252Fwww.ozon.ru%252Fcategory%252Fshlangi-i-komplekty-dlya-poliva-14641%252F%253Fgardenwateringmaterial%253D30040%2526hosediameter%253D267411%2526hosetype%253D155847%25252C175848&oos_search=false&sh=wqyUGjb2qA
ОЗОН	"Шланг напорно-всасывающий Норма-Морозоустойчивый внутренний диаметр d 50мм (30 м), синий TUBOFLEX"	ООО "ДТРД"	Tuboflex	синий	дренажный	IRRIGATION	30	50	11143	371	https://www.ozon.ru/product/shlang-naporno-vsasyvayushchiy-norma-morozoustoychivyy-vnutrenniy-diametr-d-50mm-30-m-siniy-tuboflex-804778068/?asb=EXXvrTpQmBBJ%252BtfT4fGmI2xsiZByiloBRsXrGgP66A4%253D&asb2=LmpbSx-grRAaZsu374muQWlv6MN7mWXWfgC7UCGRR_15cJ2Fn8aeo7plZI3UAiUL&avtc=1&avte=2&avts=1684417252&sh=wqyUGv8eOQ
ОЗОН	"Шланг для дренажного насоса 50 мм (2""), 7 атм, напорно-всасывающий, гофрированный, морозостойкий ПВХ от -40С до 60С, защита от УФ, красный, 30м"	ВсеПрофилиРу (ИП Жаботинский Евгений Яковлевич)	НОВЭМ	красный	дренажный	IRRIGATION	30	50	6672	222	https://www.ozon.ru/product/shlang-naporno-vsasyvayushchiy-50mm-2-7-atm-gofrirovannyy-morozostoykiy-pvh-ot-40s-do-60s-zashchita-881462606/?asb=b2EPszb9FE%252FWAchajNi5RIqu3TRsmxxawMDD%252FQwo7As%253D&asb2=vbdgAXrjj3fcrtXTyhZR_pn5xzm0PhnZjd6OBQYLql9nCFSyuKDckaf2LdCKyuMx&avtc=1&avte=2&avts=1684418069&from_sku=881462619&from_url=https%253A%252F%252Fwww.ozon.ru%252Fcategory%252Fshlangi-i-komplekty-dlya-poliva-14641%252F%253Fgardenwateringmaterial%253D30040%2526hosediameter%253D267411%2526hosetype%253D155847%25252C175848%2526page%253D2%2526tf_state%253Dg5bXz6XZ517LBSF8fFTpkuJSmhtTCNPJEvKb2qLMhP6-DO0%25253D&oos_search=false&sh=wqyUGtITCw
ОЗОН	"Шланг напорно - всасывающий 50 мм (2""), 10 атм (УСИЛЕННЫЙ), гофрированный, морозостойкий ПВХ от -40С до 60С, защита от УФ, красный, 30м"	ВсеПрофилиРу (ИП Жаботинский Евгений Яковлевич)	НОВЭМ	красный	дренажный	IRRIGATION	30	50	14597	487	https://www.ozon.ru/product/shlang-naporno-vsasyvayushchiy-50mm-2-10-atm-usilennyy-gofrirovannyy-morozostoykiy-pvh-ot-40s-do-888654358/?asb=b2EPszb9FE%252FWAchajNi5RIqu3TRsmxxawMDD%252FQwo7As%253D&asb2=vbdgAXrjj3fcrtXTyhZR_pn5xzm0PhnZjd6OBQYLql9nCFSyuKDckaf2LdCKyuMx&avtc=1&avte=2&avts=1684418069&from_sku=881462619&from_url=https%253A%252F%252Fwww.ozon.ru%252Fcategory%252Fshlangi-i-komplekty-dlya-poliva-14641%252F%253Fgardenwateringmaterial%253D30040%2526hosediameter%253D267411%2526hosetype%253D155847%25252C175848%2526page%253D2%2526tf_state%253Dg5bXz6XZ517LBSF8fFTpkuJSmhtTCNPJEvKb2qLMhP6-DO0%25253D&oos_search=false&sh=wqyUGtITCw
ОЗОН	"Шланг напорно-всасывающий 50 мм (2""), 10 атм (СЕВЕР МОРОЗОСТОЙКИЙ до -55С), ассенизаторский, гофрированный, ( ПВХ / Каучук ), защита от УФ, зеленый, 30м"	ВсеПрофилиРу (ИП Жаботинский Евгений Яковлевич)	НОВЭМ	зеленый	ассенизаторский	CLEAN NORD	30	50	23165	772	https://www.ozon.ru/product/shlang-naporno-vsasyvayushchiy-50-mm-2-10-atm-sever-morozostoykiy-do-55s-assenizatorskiy-924797775/?asb=g%252FCVNPci7rLDqQp1hsYdmcL0d8MAWTN749PBpXs%252Bmb8%253D&asb2=qKXbVrJKvzvrm5vPu0WHjIvmDSXbpA3JJeGGsaJQiqVWji5R2i2YnUw8XX3okGlU&avtc=1&avte=2&avts=1684418069&from_sku=924792419&from_url=https%253A%252F%252Fwww.ozon.ru%252Fcategory%252Fshlangi-i-komplekty-dlya-poliva-14641%252F%253Fgardenwateringmaterial%253D30040%2526hosediameter%253D267411%2526hosetype%253D155847%25252C175848%2526page%253D2%2526tf_state%253Dg5bXz6XZ517LBSF8fFTpkuJSmhtTCNPJEvKb2qLMhP6-DO0%25253D&oos_search=false&sh=wqyUGssUKQ
ОЗОН	"НОВЭМ шланг напорно-всасывающий, спирально-армированный пвх север 10атм 50мм 10м Север_10атм_50_10"	ИП Лаптева Нина Викторовна	НОВЭМ	зеленый	ассенизаторский	CLEAN NORD	10	50	7106	711	https://www.ozon.ru/product/novem-shlang-naporno-vsasyvayushchiy-spiralno-armirovannyy-pvh-sever-10atm-50mm-10m-sever-10atm-806326506/?asb=biwmVFcLXEMvsqhsg0G9yGqcafkjaAD37sozoKl6JQU%253D&asb2=AQ5ljMrFaznd_96AuUaFinsThxdLwI6LWBxbk8QNT4PbstPnlNMei_S6VTbvSgRA&avtc=1&avte=2&avts=1684418069&sh=wqyUGicXow
ОЗОН	Шланг напорно-всасывающий/поливочный для дренажного насоса морозостойкий/армированный прозрачный из ПВХ d 50 мм ( длина 25 метров )	TWStrade (ИП Фомичев Михаил)	FLYING DRAGON	красный	дренажный	IRRIGATION	25	50	8964	359	https://www.ozon.ru/product/shlang-naporno-vsasyvayushchiy-polivochnyy-dlya-drenazhnogo-nasosa-morozostoykiy-801068670/?asb=Qg2igJnTU3qwpo0u5uAd6AZzUVPYZPwWKlL4dJcPtlTNL2R891%252FbB%252Ffc8xagxxeY&asb2=V5jsVENBw6ohV42m-G4nx3FjwQYKujtmd_jhmidDWHqtvfp4jaQym8t8gfmIu1kwr22rHBExcOA7kwWHaG3q-OqY3dI6ruTRMdUIiWNvGaJc9gugHfEKWVZ--QJ1LfnuYoR8GP9_b98htYc1-YLgWAQERS8MLiKMzKlv-lRNMe8&avtc=1&avte=2&avts=1684418069&from_sku=801068670&from_url=https%253A%252F%252Fwww.ozon.ru%252Fcategory%252Fshlangi-i-komplekty-dlya-poliva-14641%252F%253Fgardenwateringmaterial%253D30040%2526hosediameter%253D267411%2526hosetype%253D155847%25252C175848%2526page%253D2%2526tf_state%253Dg5bXz6XZ517LBSF8fFTpkuJSmhtTCNPJEvKb2qLMhP6-DO0%25253D&oos_search=false&sh=wqyUGp69XA
ОЗОН	"Шланг ПВХ 50 мм напорно-всасывающий белый,10 метров +…"	KendM (ИП Майборода Виталий)	МПТ-Пластик	белый	пищевой	TRANS FOOD	10	50	8611	861	https://www.ozon.ru/product/shlang-pvh-50-mm-naporno-vsasyvayushchiy-belyy-10-metrov-216594298/?asb=SB0gte3hyX%252B2RW1QLVBTQFPQ0iqIDIlubmJOdJafLfw%253D&asb2=4bvvw4EQ5FjYdADMu7WsUBwgPYfberZCM4Fic9nuYaCQH6gzGR00FgboJSEWfiQ0&avtc=1&avte=2&avts=1684418865&sh=wqyUGu0TDg
ОЗОН	Fubag Шланг для мотопомпы FHT 2/8 напорно-всасывающий Fubag 2" / 8 м 838702	Технокей	Fubag	серый	дренажный	IRRIGATION	8	50	4460	558	https://www.ozon.ru/product/fubag-shlang-dlya-motopompy-fht-2-8-naporno-vsasyvayushchiy-fubag-2-8-m-838702-924710555/?asb=XtPMKsewKSvYaSdnOxlPSMcfOpxEMMfO361Muk2OOCU%253D&asb2=mOfTMDxMwy9f2tMKq-1WLvednI6ebogU6DXks1QLSEQQrvWtQyXTEs5tYb3kXJio&avtc=1&avte=2&avts=1684418865&sh=wqyUGum0WQ
ОЗОН	"Шланг напорно всасывающий 7N50, 10 м/п"	Строю Пруд (ИП Якубов Муроджон Маруфович)	Pondtech	черный	дренажный	IRRIGATION	10	50	6335	634	https://www.ozon.ru/product/shlang-naporno-vsasyvayushchiy-7n50-10-m-p-842508043/?asb=W%252Fyj39l72vAE67RRUbk9Tso%252BoqOonXaEG%252FapbvzqH70%253D&asb2=Pjy6cV9HERiWUV7vWiknspoymNMTiORUDpCjFAcI4aHVgXmf9FOxC3TTxO-1PwHz&avtc=1&avte=2&avts=1684418865&sh=wqyUGi0_iA
ОЗОН	"Шланг напорно - всасывающий 75 мм (3""), 10 атм (УСИЛЕННЫЙ), гофрированный, морозостойкий ПВХ от -40С до 60С, защита от УФ, красный, 30м"	ВсеПрофилиРу (ИП Жаботинский Евгений Яковлевич)	НОВЭМ	красный	дренажный	IRRIGATION	30	75	26574	886	https://www.ozon.ru/product/shlang-naporno-vsasyvayushchiy-75mm-3-10-atm-usilennyy-gofrirovannyy-morozostoykiy-pvh-ot-40s-do-888655231/?asb=rMQazExqK3FQXzHRrkYFRREbWB8vaI%252FMVeQ5EQcGF3GKu9j11fLP1r3%252BVJPtk89Q&asb2=R5GSm_oiJr4CrGXmgWU6GgHYBGefjBe4khUvFn4NMAHxOBM1cbPORPZoNwSOHxdlI7ZLz32lLHe2_d5cFOIUGGFhFLME5ybJp9cHAqKbcACk65tpA04UIKTNutDZF3yRVu2NeOWZsubmObQbWiepvFDEaT8l4GDuJZLCG9juI4s&avtc=1&avte=2&avts=1684419459&from_sku=888655235&from_url=https%253A%252F%252Fwww.ozon.ru%252Fcategory%252Fshlangi-i-komplekty-dlya-poliva-14641%252F%253Fgardenwateringmaterial%253D30040%2526hosediameter%253D267413%2526hosetype%253D155847%25252C175848&oos_search=false&sh=wqyUGly0Ww
ОЗОН	"Шланг для дренажного насоса 75 мм (3""), 7 атм, напорно-всасывающий, гофрированный, морозостойкий ПВХ от -40С до 60С, защита от УФ, красный, 30м"	ВсеПрофилиРу (ИП Жаботинский Евгений Яковлевич)	НОВЭМ	красный	дренажный	IRRIGATION	30	75	16557	552	https://www.ozon.ru/product/shlang-naporno-vsasyvayushchiy-75mm-3-7-atm-gofrirovannyy-morozostoykiy-pvh-ot-40s-do-60s-zashchita-881415133/?asb=hGfC2PDeyeCEKg3ZqStW1d6JraGAQEcbd2%252FIjWheMPE%253D&asb2=AoCzRJ8pXffOP_afIHv_1mGA6hkJ_hCAy0Tq2FdGXsn4jQ5enC5BX5B_Low3vY4V&avtc=1&avte=2&avts=1684419459&from_sku=881415159&from_url=https%253A%252F%252Fwww.ozon.ru%252Fcategory%252Fshlangi-i-komplekty-dlya-poliva-14641%252F%253Fgardenwateringmaterial%253D30040%2526hosediameter%253D267413%2526hosetype%253D155847%25252C175848&oos_search=false&sh=wqyUGgzS0A
